  
       XFOIL         Version 6.99
  
 Calculated polar for: GA                                              
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000   0.0101   0.02145   0.01441  -0.1544   0.8857   0.1239
  -4.750   0.0522   0.02084   0.01379  -0.1570   0.8843   0.1343
  -4.250   0.1024   0.02028   0.01314  -0.1559   0.8704   0.1531
  -4.000   0.1434   0.01973   0.01258  -0.1581   0.8685   0.1660
  -3.750   0.1862   0.01914   0.01201  -0.1607   0.8671   0.1800
  -3.500   0.2301   0.01856   0.01143  -0.1634   0.8661   0.1950
  -2.750   0.3248   0.01750   0.01048  -0.1647   0.8504   0.2349
  -2.500   0.3709   0.01695   0.00994  -0.1678   0.8490   0.2517
  -2.250   0.4190   0.01645   0.00945  -0.1713   0.8477   0.2690
  -1.750   0.4744   0.01604   0.00904  -0.1706   0.8332   0.2964
  -1.500   0.5212   0.01556   0.00859  -0.1738   0.8308   0.3133
  -1.000   0.5829   0.01511   0.00816  -0.1743   0.8164   0.3414
  -0.750   0.6277   0.01472   0.00774  -0.1771   0.8122   0.3585
  -0.500   0.6556   0.01460   0.00766  -0.1768   0.8037   0.3720
  -0.250   0.6894   0.01436   0.00744  -0.1776   0.7959   0.3862
   0.000   0.7331   0.01406   0.00711  -0.1803   0.7903   0.4028
   0.250   0.7526   0.01409   0.00713  -0.1783   0.7785   0.4160
   0.500   0.7940   0.01386   0.00687  -0.1806   0.7717   0.4324
   0.750   0.8135   0.01388   0.00696  -0.1786   0.7596   0.4444
   1.000   0.8503   0.01374   0.00678  -0.1800   0.7512   0.4603
   1.250   0.8720   0.01378   0.00682  -0.1785   0.7391   0.4746
   1.500   0.9028   0.01376   0.00678  -0.1788   0.7292   0.4903
   1.750   0.9284   0.01376   0.00681  -0.1780   0.7178   0.5048
   2.000   0.9543   0.01380   0.00685  -0.1774   0.7066   0.5200
   2.250   0.9838   0.01381   0.00683  -0.1774   0.6958   0.5369
   2.500   1.0053   0.01389   0.00696  -0.1759   0.6836   0.5530
