  
       XFOIL         Version 6.99
  
 Calculated polar for: GA                                              
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.150 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -4.750   0.0506   0.05210   0.04811  -0.1357   0.8705   0.0767
  -4.500   0.0876   0.05014   0.04616  -0.1379   0.8684   0.0776
  -4.250   0.0915   0.05367   0.04977  -0.1303   0.8550   0.0920
  -4.000   0.1175   0.05380   0.04990  -0.1269   0.8519   0.0950
  -3.750   0.1621   0.05205   0.04811  -0.1320   0.8501   0.1136
  -3.000   0.5041   0.02261   0.01542  -0.2121   0.8539   0.1297
  -2.750   0.5523   0.02146   0.01439  -0.2155   0.8518   0.1479
  -2.500   0.6028   0.02033   0.01327  -0.2192   0.8502   0.1716
  -2.000   0.6779   0.01903   0.01205  -0.2221   0.8350   0.2215
  -1.750   0.7308   0.01813   0.01118  -0.2263   0.8323   0.2555
  -1.500   0.7606   0.01784   0.01089  -0.2262   0.8203   0.2818
  -1.250   0.8134   0.01711   0.01020  -0.2304   0.8151   0.3149
  -1.000   0.8503   0.01680   0.00986  -0.2317   0.8037   0.3425
  -0.750   0.8989   0.01628   0.00934  -0.2350   0.7952   0.3714
  -0.500   0.9325   0.01614   0.00915  -0.2357   0.7810   0.3961
  -0.250   0.9706   0.01595   0.00892  -0.2372   0.7678   0.4199
   0.000   1.0112   0.01579   0.00868  -0.2392   0.7552   0.4433
   0.250   1.0402   0.01586   0.00870  -0.2390   0.7393   0.4635
   0.500   1.0691   0.01596   0.00875  -0.2389   0.7241   0.4834
   0.750   1.0996   0.01609   0.00879  -0.2390   0.7097   0.5032
   1.000   1.1316   0.01622   0.00880  -0.2395   0.6965   0.5232
   1.250   1.1567   0.01643   0.00898  -0.2387   0.6820   0.5413
   1.500   1.1829   0.01666   0.00916  -0.2381   0.6685   0.5596
   1.750   1.2123   0.01688   0.00927  -0.2382   0.6565   0.5785
   2.000   1.2363   0.01711   0.00950  -0.2372   0.6435   0.5964
   2.250   1.2622   0.01737   0.00971  -0.2367   0.6316   0.6150
   2.500   1.2898   0.01762   0.00987  -0.2364   0.6204   0.6341
   2.750   1.3131   0.01789   0.01017  -0.2354   0.6087   0.6529
   3.000   1.3422   0.01816   0.01033  -0.2355   0.5987   0.6735
   3.250   1.3637   0.01842   0.01065  -0.2342   0.5872   0.6936
   3.500   1.3915   0.01870   0.01085  -0.2341   0.5777   0.7159
   3.750   1.4129   0.01894   0.01117  -0.2327   0.5671   0.7380
   4.000   1.4396   0.01921   0.01136  -0.2324   0.5581   0.7645
   4.250   1.4594   0.01941   0.01166  -0.2308   0.5479   0.7939
   4.750   1.5011   0.01967   0.01206  -0.2279   0.5299   1.0000
   5.000   1.5320   0.02011   0.01232  -0.2287   0.5211   1.0000
   5.250   1.5548   0.02057   0.01280  -0.2279   0.5116   1.0000
   5.500   1.5813   0.02099   0.01312  -0.2277   0.5030   1.0000
   5.750   1.6046   0.02147   0.01360  -0.2270   0.4942   1.0000
   6.000   1.6280   0.02189   0.01398  -0.2262   0.4855   1.0000
   6.250   1.6532   0.02240   0.01443  -0.2258   0.4775   1.0000
   6.500   1.6732   0.02285   0.01492  -0.2243   0.4686   1.0000
   7.000   1.7174   0.02384   0.01592  -0.2223   0.4523   1.0000
