  
       XFOIL         Version 6.99
  
 Calculated polar for: GA                                              
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.189 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -14.000   0.0949   0.13807   0.13433  -0.1157   0.9409   0.0569
 -13.500   0.1218   0.13053   0.12677  -0.1222   0.9380   0.0598
 -13.000   0.1474   0.12237   0.11858  -0.1299   0.9358   0.0643
 -12.000   0.1996   0.10815   0.10432  -0.1405   0.9216   0.0721
 -11.500   0.2242   0.09924   0.09536  -0.1489   0.9169   0.0767
 -11.000   0.2170   0.09154   0.08767  -0.1547   0.9041   0.0823
 -10.500   0.1764   0.06526   0.06131  -0.1645   0.8966   0.0496
 -10.000  -0.1413   0.02676   0.02123  -0.1825   0.8581   0.0393
  -9.500  -0.1296   0.02370   0.01794  -0.1807   0.8432   0.0405
  -9.000  -0.0806   0.01976   0.01341  -0.1849   0.8367   0.0438
  -8.500  -0.0527   0.01822   0.01183  -0.1822   0.8225   0.0471
  -8.000   0.0041   0.01565   0.00896  -0.1845   0.8157   0.0530
  -7.000   0.1055   0.01256   0.00578  -0.1860   0.7965   0.0761
  -6.500   0.1476   0.01174   0.00501  -0.1851   0.7836   0.0959
  -6.000   0.2170   0.01053   0.00376  -0.1888   0.7775   0.1316
  -5.500   0.2600   0.01026   0.00354  -0.1875   0.7644   0.1671
  -5.000   0.3302   0.00972   0.00288  -0.1904   0.7577   0.2099
  -4.500   0.3736   0.00983   0.00300  -0.1886   0.7449   0.2415
  -4.000   0.4426   0.00956   0.00256  -0.1909   0.7378   0.2762
  -3.500   0.4853   0.00980   0.00281  -0.1887   0.7252   0.3029
  -3.000   0.5519   0.00959   0.00245  -0.1906   0.7176   0.3312
  -2.500   0.5955   0.00982   0.00272  -0.1885   0.7053   0.3542
  -2.000   0.6598   0.00972   0.00242  -0.1899   0.6971   0.3805
  -1.500   0.7046   0.00994   0.00264  -0.1881   0.6854   0.4023
  -1.000   0.7659   0.00989   0.00250  -0.1890   0.6767   0.4249
  -0.500   0.8110   0.01011   0.00276  -0.1872   0.6653   0.4456
  -0.000   0.8695   0.01016   0.00273  -0.1878   0.6562   0.4680
   0.500   0.9158   0.01037   0.00297  -0.1862   0.6450   0.4890
   1.000   0.9707   0.01052   0.00305  -0.1862   0.6354   0.5118
   1.500   1.0186   0.01072   0.00326  -0.1850   0.6247   0.5343
   2.000   1.0689   0.01097   0.00349  -0.1842   0.6146   0.5571
   2.500   1.1184   0.01113   0.00368  -0.1833   0.6041   0.5801
   3.000   1.1626   0.01149   0.00410  -0.1815   0.5936   0.6045
   3.500   1.2152   0.01163   0.00422  -0.1812   0.5834   0.6322
   4.000   1.2514   0.01208   0.00481  -0.1781   0.5723   0.6594
   4.500   1.3075   0.01216   0.00488  -0.1784   0.5626   0.6937
   5.000   1.3338   0.01269   0.00562  -0.1737   0.5510   0.7320
   5.500   1.3947   0.01260   0.00558  -0.1748   0.5415   0.8028
   6.000   1.4063   0.01332   0.00657  -0.1677   0.5297   1.0000
   6.500   1.4669   0.01379   0.00685  -0.1692   0.5198   1.0000
   7.000   1.4777   0.01467   0.00780  -0.1622   0.5078   1.0000
   7.500   1.5131   0.01549   0.00858  -0.1595   0.4971   1.0000
   8.000   1.5447   0.01624   0.00932  -0.1563   0.4857   1.0000
   8.500   1.5566   0.01766   0.01084  -0.1504   0.4739   1.0000
   9.000   1.6156   0.01807   0.01110  -0.1514   0.4633   1.0000
   9.500   1.6005   0.02039   0.01365  -0.1423   0.4505   1.0000
  10.000   1.6272   0.02189   0.01517  -0.1392   0.4391   1.0000
  10.500   1.6485   0.02356   0.01688  -0.1355   0.4270   1.0000
  11.000   1.6429   0.02702   0.02052  -0.1293   0.4141   1.0000
  11.500   1.6761   0.02860   0.02207  -0.1275   0.4026   1.0000
  12.000   1.6734   0.03246   0.02609  -0.1224   0.3897   1.0000
  12.500   1.6671   0.03728   0.03108  -0.1177   0.3766   1.0000
  13.000   1.6964   0.03944   0.03322  -0.1160   0.3647   1.0000
  13.500   1.6885   0.04493   0.03887  -0.1120   0.3515   1.0000
  14.000   1.6757   0.05163   0.04576  -0.1085   0.3380   1.0000
  14.500   1.6893   0.05573   0.04991  -0.1066   0.3256   1.0000
  15.000   1.6999   0.06016   0.05438  -0.1049   0.3126   1.0000
  15.500   1.6705   0.06971   0.06420  -0.1025   0.2986   1.0000
  16.000   1.6620   0.07689   0.07155  -0.1013   0.2853   1.0000
  16.500   1.6804   0.08043   0.07507  -0.1006   0.2728   1.0000
  17.000   1.6623   0.08870   0.08353  -0.1001   0.2591   1.0000
  17.500   1.6237   0.09951   0.09465  -0.1005   0.2446   1.0000
  18.000   1.5930   0.10845   0.10383  -0.1016   0.2306   1.0000
  18.500   1.5794   0.11405   0.10959  -0.1027   0.2177   1.0000
  19.000   1.5965   0.11559   0.11109  -0.1030   0.2052   1.0000
  19.500   1.5482   0.12527   0.12110  -0.1062   0.1916   1.0000
  20.000   1.4928   0.13662   0.13281  -0.1109   0.1783   1.0000
