  
       XFOIL         Version 6.99
  
 Calculated polar for: GA                                              
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.150 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.8337   0.01566   0.00897  -0.1888   0.7742   0.5308
   0.100   0.8557   0.01546   0.00871  -0.1906   0.7710   0.5431
   0.200   0.8599   0.01552   0.00881  -0.1891   0.7632   0.5495
   0.300   0.8744   0.01545   0.00869  -0.1895   0.7577   0.5602
   0.400   0.8926   0.01530   0.00853  -0.1906   0.7535   0.5698
   0.500   0.9039   0.01529   0.00849  -0.1905   0.7472   0.5793
   0.600   0.9139   0.01528   0.00849  -0.1900   0.7406   0.5870
   0.700   0.9302   0.01520   0.00836  -0.1908   0.7354   0.5978
   0.800   0.9434   0.01517   0.00831  -0.1910   0.7297   0.6065
   0.900   0.9521   0.01521   0.00833  -0.1904   0.7225   0.6156
   1.000   0.9659   0.01516   0.00827  -0.1907   0.7169   0.6246
   1.100   0.9801   0.01515   0.00820  -0.1912   0.7113   0.6349
   1.200   0.9873   0.01519   0.00827  -0.1903   0.7041   0.6428
   1.300   1.0002   0.01519   0.00822  -0.1904   0.6981   0.6531
   1.400   1.0139   0.01519   0.00818  -0.1907   0.6926   0.6630
   1.500   1.0209   0.01524   0.00825  -0.1898   0.6854   0.6721
   1.600   1.0322   0.01526   0.00824  -0.1897   0.6794   0.6821
   1.700   1.0463   0.01527   0.00819  -0.1901   0.6741   0.6929
   1.800   1.0528   0.01533   0.00828  -0.1891   0.6670   0.7033
   1.900   1.0629   0.01535   0.00829  -0.1887   0.6609   0.7135
   2.000   1.0770   0.01538   0.00825  -0.1892   0.6557   0.7261
   2.100   1.0834   0.01544   0.00834  -0.1882   0.6490   0.7373
   2.200   1.0923   0.01546   0.00837  -0.1876   0.6428   0.7497
   2.300   1.1046   0.01549   0.00834  -0.1876   0.6376   0.7643
   2.400   1.1127   0.01553   0.00839  -0.1870   0.6316   0.7796
   2.500   1.1200   0.01554   0.00845  -0.1861   0.6255   0.7971
   2.600   1.1290   0.01551   0.00842  -0.1855   0.6202   0.8204
   2.700   1.1375   0.01542   0.00837  -0.1847   0.6154   0.8620
   2.800   1.1444   0.01537   0.00839  -0.1839   0.6090   1.0000
   2.900   1.1559   0.01550   0.00844  -0.1840   0.6031   1.0000
   3.000   1.1701   0.01564   0.00845  -0.1846   0.5980   1.0000
   3.100   1.1791   0.01578   0.00856  -0.1842   0.5921   1.0000
   3.200   1.1884   0.01591   0.00865  -0.1839   0.5862   1.0000
   3.300   1.2000   0.01605   0.00870  -0.1840   0.5809   1.0000
   3.400   1.2118   0.01621   0.00878  -0.1841   0.5759   1.0000
   3.500   1.2193   0.01634   0.00891  -0.1834   0.5700   1.0000
   3.600   1.2288   0.01647   0.00899  -0.1831   0.5645   1.0000
   3.700   1.2408   0.01663   0.00904  -0.1832   0.5597   1.0000
   3.800   1.2501   0.01678   0.00916  -0.1829   0.5546   1.0000
   3.900   1.2580   0.01692   0.00929  -0.1822   0.5490   1.0000
   4.000   1.2676   0.01705   0.00938  -0.1819   0.5439   1.0000
   4.100   1.2797   0.01722   0.00944  -0.1821   0.5394   1.0000
   4.200   1.2874   0.01737   0.00959  -0.1814   0.5342   1.0000
   4.300   1.2953   0.01751   0.00974  -0.1808   0.5288   1.0000
   4.400   1.3048   0.01766   0.00983  -0.1805   0.5240   1.0000
   4.500   1.3169   0.01784   0.00991  -0.1806   0.5196   1.0000
   4.600   1.3241   0.01799   0.01007  -0.1799   0.5146   1.0000
   4.700   1.3317   0.01813   0.01022  -0.1792   0.5094   1.0000
   4.800   1.3409   0.01828   0.01032  -0.1788   0.5048   1.0000
   4.900   1.3525   0.01847   0.01041  -0.1789   0.5005   1.0000
   5.000   1.3600   0.01863   0.01058  -0.1782   0.4957   1.0000
   5.100   1.3672   0.01878   0.01075  -0.1775   0.4907   1.0000
   5.200   1.3758   0.01893   0.01087  -0.1770   0.4861   1.0000
   5.300   1.3865   0.01911   0.01097  -0.1769   0.4819   1.0000
   5.400   1.3955   0.01930   0.01113  -0.1765   0.4775   1.0000
   5.500   1.4019   0.01945   0.01131  -0.1756   0.4727   1.0000
   5.600   1.4097   0.01960   0.01146  -0.1750   0.4681   1.0000
   5.700   1.4191   0.01977   0.01157  -0.1747   0.4639   1.0000
   5.800   1.4305   0.01999   0.01170  -0.1747   0.4598   1.0000
   5.900   1.4358   0.02014   0.01191  -0.1737   0.4553   1.0000
   6.000   1.4427   0.02030   0.01209  -0.1729   0.4507   1.0000
   6.100   1.4509   0.02047   0.01223  -0.1723   0.4465   1.0000
   6.200   1.4615   0.02067   0.01235  -0.1723   0.4426   1.0000
