  
       XFOIL         Version 6.99
  
 Calculated polar for: MH 114  13.02%                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.150 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.7599   0.01787   0.01192  -0.1771   0.7708   0.8243
   0.100   0.7653   0.01776   0.01184  -0.1756   0.7681   0.8540
   0.200   0.7716   0.01752   0.01164  -0.1741   0.7660   0.8947
   0.300   0.7872   0.01720   0.01130  -0.1746   0.7645   1.0000
   0.400   0.8062   0.01705   0.01106  -0.1761   0.7632   1.0000
   0.500   0.8250   0.01691   0.01082  -0.1775   0.7620   1.0000
   0.600   0.8283   0.01723   0.01112  -0.1763   0.7570   1.0000
   0.700   0.8385   0.01731   0.01116  -0.1763   0.7535   1.0000
   0.800   0.8526   0.01727   0.01105  -0.1768   0.7512   1.0000
   0.900   0.8685   0.01717   0.01088  -0.1776   0.7493   1.0000
   1.000   0.8852   0.01704   0.01069  -0.1786   0.7477   1.0000
   1.100   0.9024   0.01691   0.01048  -0.1796   0.7462   1.0000
   1.200   0.9098   0.01708   0.01063  -0.1790   0.7425   1.0000
   1.300   0.9167   0.01725   0.01078  -0.1783   0.7383   1.0000
   1.400   0.9295   0.01723   0.01071  -0.1786   0.7356   1.0000
   1.500   0.9444   0.01714   0.01057  -0.1792   0.7335   1.0000
   1.600   0.9603   0.01703   0.01040  -0.1799   0.7316   1.0000
   1.700   0.9769   0.01692   0.01022  -0.1808   0.7300   1.0000
   1.800   0.9820   0.01714   0.01045  -0.1798   0.7256   1.0000
   1.900   0.9906   0.01724   0.01054  -0.1794   0.7218   1.0000
   2.000   1.0034   0.01721   0.01047  -0.1797   0.7190   1.0000
   2.100   1.0181   0.01713   0.01034  -0.1802   0.7167   1.0000
   2.200   1.0339   0.01703   0.01018  -0.1809   0.7148   1.0000
   2.300   1.0472   0.01702   0.01013  -0.1813   0.7123   1.0000
   2.400   1.0509   0.01725   0.01039  -0.1800   0.7074   1.0000
   2.500   1.0621   0.01727   0.01038  -0.1800   0.7040   1.0000
   2.600   1.0757   0.01722   0.01029  -0.1804   0.7014   1.0000
   2.700   1.0909   0.01713   0.01015  -0.1810   0.6992   1.0000
   2.800   1.1072   0.01704   0.01000  -0.1819   0.6973   1.0000
   2.900   1.1093   0.01731   0.01032  -0.1803   0.6919   1.0000
   3.000   1.1195   0.01735   0.01034  -0.1801   0.6883   1.0000
   3.100   1.1326   0.01731   0.01027  -0.1804   0.6855   1.0000
   3.200   1.1477   0.01724   0.01014  -0.1811   0.6831   1.0000
   3.300   1.1606   0.01724   0.01010  -0.1813   0.6803   1.0000
   3.400   1.1651   0.01743   0.01034  -0.1802   0.6754   1.0000
   3.500   1.1756   0.01747   0.01037  -0.1800   0.6719   1.0000
   3.600   1.1891   0.01743   0.01029  -0.1804   0.6689   1.0000
   3.700   1.2044   0.01736   0.01016  -0.1810   0.6665   1.0000
   3.800   1.2117   0.01749   0.01031  -0.1804   0.6623   1.0000
   3.900   1.2193   0.01761   0.01044  -0.1797   0.6579   1.0000
   4.000   1.2309   0.01762   0.01042  -0.1798   0.6545   1.0000
   4.100   1.2451   0.01757   0.01033  -0.1803   0.6517   1.0000
   4.200   1.2581   0.01758   0.01029  -0.1805   0.6487   1.0000
   4.300   1.2626   0.01776   0.01053  -0.1794   0.6437   1.0000
   4.400   1.2728   0.01780   0.01057  -0.1792   0.6397   1.0000
   4.500   1.2860   0.01779   0.01052  -0.1795   0.6366   1.0000
   4.600   1.3012   0.01775   0.01042  -0.1802   0.6339   1.0000
   4.700   1.3049   0.01796   0.01069  -0.1789   0.6287   1.0000
   4.800   1.3141   0.01803   0.01075  -0.1785   0.6245   1.0000
   4.900   1.3266   0.01803   0.01072  -0.1787   0.6210   1.0000
   5.000   1.3414   0.01801   0.01064  -0.1793   0.6181   1.0000
