  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 2424                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.150 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.2034   0.01801   0.01021  -0.0439   0.6357   0.6496
   0.100   0.2110   0.01804   0.01037  -0.0431   0.6318   0.6553
   0.200   0.2196   0.01809   0.01046  -0.0425   0.6281   0.6621
   0.300   0.2287   0.01811   0.01048  -0.0421   0.6247   0.6701
   0.400   0.2393   0.01811   0.01047  -0.0418   0.6217   0.6774
   0.500   0.2518   0.01812   0.01050  -0.0419   0.6188   0.6837
   0.600   0.2640   0.01814   0.01050  -0.0419   0.6163   0.6913
   0.700   0.2749   0.01820   0.01048  -0.0418   0.6137   0.6997
   0.800   0.2822   0.01826   0.01066  -0.0409   0.6100   0.7053
   0.900   0.2907   0.01833   0.01078  -0.0403   0.6065   0.7117
   1.000   0.2996   0.01837   0.01083  -0.0398   0.6031   0.7192
   1.100   0.3093   0.01839   0.01083  -0.0394   0.6001   0.7267
   1.200   0.3220   0.01842   0.01088  -0.0394   0.5973   0.7324
   1.300   0.3345   0.01847   0.01091  -0.0395   0.5948   0.7393
   1.400   0.3467   0.01853   0.01091  -0.0395   0.5923   0.7472
   1.500   0.3544   0.01861   0.01104  -0.0388   0.5892   0.7536
   1.600   0.3625   0.01870   0.01121  -0.0381   0.5858   0.7591
   1.700   0.3714   0.01878   0.01132  -0.0375   0.5825   0.7657
   1.800   0.3801   0.01882   0.01134  -0.0370   0.5795   0.7735
   1.900   0.3915   0.01886   0.01139  -0.0368   0.5766   0.7795
   2.000   0.4046   0.01893   0.01145  -0.0369   0.5740   0.7850
   2.100   0.4176   0.01901   0.01149  -0.0370   0.5715   0.7915
   2.200   0.4288   0.01910   0.01153  -0.0370   0.5691   0.7991
   2.300   0.4351   0.01921   0.01172  -0.0359   0.5659   0.8047
   2.400   0.4440   0.01934   0.01190  -0.0353   0.5626   0.8098
   2.500   0.4534   0.01944   0.01202  -0.0348   0.5594   0.8161
   2.600   0.4619   0.01948   0.01205  -0.0342   0.5566   0.8237
   2.700   0.4739   0.01955   0.01211  -0.0342   0.5538   0.8292
   2.800   0.4885   0.01966   0.01219  -0.0345   0.5513   0.8336
   2.900   0.5032   0.01979   0.01227  -0.0350   0.5489   0.8388
   3.000   0.5131   0.01992   0.01239  -0.0346   0.5463   0.8455
   3.100   0.5173   0.02002   0.01254  -0.0333   0.5433   0.8524
   3.200   0.5284   0.02018   0.01275  -0.0331   0.5399   0.8564
   3.300   0.5404   0.02033   0.01291  -0.0330   0.5368   0.8610
   3.400   0.5519   0.02043   0.01299  -0.0329   0.5340   0.8667
   3.500   0.5586   0.02044   0.01297  -0.0320   0.5315   0.8749
   3.600   0.5770   0.02059   0.01307  -0.0331   0.5289   0.8777
   3.700   0.5964   0.02078   0.01319  -0.0345   0.5264   0.8806
   3.800   0.6082   0.02098   0.01343  -0.0345   0.5234   0.8847
   3.900   0.6160   0.02114   0.01364  -0.0338   0.5203   0.8905
   4.000   0.6199   0.02121   0.01372  -0.0324   0.5174   0.8984
   4.100   0.6371   0.02138   0.01389  -0.0334   0.5141   0.9009
   4.200   0.6557   0.02152   0.01401  -0.0347   0.5111   0.9035
   4.300   0.6751   0.02166   0.01409  -0.0361   0.5083   0.9063
   4.400   0.6947   0.02180   0.01416  -0.0376   0.5058   0.9094
   4.500   0.7089   0.02198   0.01430  -0.0381   0.5032   0.9142
   4.600   0.7132   0.02211   0.01450  -0.0369   0.5002   0.9209
   4.700   0.7305   0.02230   0.01472  -0.0381   0.4966   0.9231
   4.800   0.7497   0.02246   0.01488  -0.0397   0.4932   0.9252
   4.900   0.7706   0.02259   0.01497  -0.0415   0.4900   0.9274
   5.000   0.7916   0.02269   0.01502  -0.0434   0.4871   0.9300
