  
       XFOIL         Version 6.99
  
 Calculated polar for: GA                                              
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.150 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -15.000  -0.2229   0.18263   0.17847  -0.0354   1.0000   0.0432
 -14.500  -0.2249   0.17848   0.17437  -0.0348   1.0000   0.0437
 -14.000  -0.2204   0.17435   0.17029  -0.0327   1.0000   0.0448
 -13.500  -0.2209   0.17073   0.16674  -0.0312   1.0000   0.0465
 -13.000  -0.2259   0.16711   0.16317  -0.0302   1.0000   0.0486
 -12.500  -0.2367   0.16348   0.15962  -0.0296   1.0000   0.0496
 -12.000  -0.2336   0.15979   0.15602  -0.0265   1.0000   0.0512
 -11.500  -0.2136   0.15306   0.14928  -0.0316   0.9958   0.0542
 -11.000  -0.1951   0.14531   0.14151  -0.0403   0.9899   0.0559
 -10.500  -0.1575   0.13767   0.13386  -0.0455   0.9829   0.0586
 -10.000  -0.1480   0.13105   0.12722  -0.0572   0.9754   0.0621
  -9.500  -0.1454   0.12199   0.11810  -0.0551   0.9756   0.0631
  -9.000  -0.1106   0.11535   0.11145  -0.0615   0.9651   0.0674
  -8.500  -0.0342   0.10771   0.10386  -0.0750   0.9498   0.0745
  -8.000  -0.0076   0.10037   0.09654  -0.0812   0.9380   0.0778
  -7.500  -0.0002   0.09359   0.08979  -0.0917   0.9236   0.0835
  -7.000   0.0507   0.08676   0.08294  -0.0927   0.9136   0.0882
  -6.500   0.0772   0.08001   0.07619  -0.0982   0.9006   0.0947
  -5.000   0.1336   0.06071   0.05677  -0.1222   0.8627   0.1166
  -4.500   0.2018   0.05074   0.04660  -0.1416   0.8504   0.1335
  -3.500   0.4200   0.02142   0.01388  -0.1855   0.8315   0.0995
  -3.000   0.4929   0.01973   0.01201  -0.1880   0.8183   0.1155
  -2.500   0.5614   0.01840   0.01072  -0.1898   0.8033   0.1373
  -2.000   0.6301   0.01734   0.00962  -0.1915   0.7876   0.1708
  -1.500   0.6930   0.01663   0.00899  -0.1923   0.7696   0.2199
  -1.000   0.7541   0.01610   0.00864  -0.1929   0.7507   0.2917
  -0.500   0.8137   0.01580   0.00852  -0.1930   0.7317   0.3869
  -0.000   0.8704   0.01568   0.00856  -0.1925   0.7121   0.4876
   0.500   0.9237   0.01574   0.00873  -0.1912   0.6922   0.5831
   1.000   0.9767   0.01579   0.00884  -0.1897   0.6732   0.6744
   1.500   1.0222   0.01585   0.00902  -0.1868   0.6533   0.7685
   2.000   1.0657   0.01554   0.00879  -0.1833   0.6352   1.0000
   2.500   1.1220   0.01606   0.00904  -0.1835   0.6148   1.0000
   3.000   1.1793   0.01655   0.00923  -0.1836   0.5962   1.0000
   3.500   1.2295   0.01712   0.00965  -0.1825   0.5762   1.0000
   4.000   1.2823   0.01769   0.01003  -0.1817   0.5577   1.0000
   4.500   1.3308   0.01831   0.01054  -0.1803   0.5383   1.0000
   5.000   1.3804   0.01896   0.01106  -0.1790   0.5200   1.0000
   5.500   1.4266   0.01965   0.01167  -0.1772   0.5010   1.0000
   6.000   1.4731   0.02038   0.01230  -0.1755   0.4829   1.0000
   6.500   1.5160   0.02116   0.01305  -0.1732   0.4643   1.0000
   7.000   1.5592   0.02198   0.01380  -0.1710   0.4466   1.0000
   7.500   1.5975   0.02286   0.01469  -0.1680   0.4283   1.0000
   8.000   1.6369   0.02379   0.01556  -0.1653   0.4111   1.0000
   8.500   1.6680   0.02482   0.01665  -0.1612   0.3933   1.0000
   9.000   1.7034   0.02585   0.01759  -0.1580   0.3769   1.0000
   9.500   1.7215   0.02708   0.01895  -0.1519   0.3603   1.0000
  10.000   1.7448   0.02839   0.02026  -0.1471   0.3443   1.0000
  10.500   1.7672   0.02988   0.02177  -0.1424   0.3288   1.0000
  11.000   1.7811   0.03170   0.02373  -0.1368   0.3133   1.0000
  11.500   1.7984   0.03364   0.02570  -0.1322   0.2983   1.0000
  12.000   1.8150   0.03582   0.02792  -0.1278   0.2839   1.0000
  12.500   1.8218   0.03859   0.03085  -0.1229   0.2697   1.0000
  13.000   1.8307   0.04155   0.03391  -0.1187   0.2560   1.0000
  13.500   1.8408   0.04470   0.03714  -0.1151   0.2428   1.0000
  14.000   1.8513   0.04811   0.04059  -0.1120   0.2302   1.0000
  14.500   1.8508   0.05251   0.04518  -0.1088   0.2181   1.0000
  15.000   1.8512   0.05723   0.05008  -0.1063   0.2066   1.0000
  15.500   1.8513   0.06232   0.05532  -0.1044   0.1955   1.0000
  16.000   1.8512   0.06776   0.06092  -0.1030   0.1851   1.0000
  16.500   1.8502   0.07356   0.06689  -0.1022   0.1752   1.0000
  17.000   1.8489   0.07965   0.07313  -0.1019   0.1659   1.0000
  17.500   1.8480   0.08585   0.07949  -0.1020   0.1572   1.0000
  18.000   1.8496   0.09182   0.08558  -0.1025   0.1490   1.0000
  18.500   1.8560   0.09715   0.09098  -0.1032   0.1411   1.0000
  19.000   1.8464   0.10471   0.09881  -0.1050   0.1341   1.0000
  19.500   1.8294   0.11355   0.10798  -0.1080   0.1278   1.0000
  20.000   1.8293   0.11983   0.11440  -0.1102   0.1216   1.0000
