  
       XFOIL         Version 6.99
  
 Calculated polar for: GA                                              
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.189 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.0456   0.02021   0.01227  -0.1268   0.8132   0.1313
  -4.500   0.0181   0.01914   0.01110  -0.1281   0.7889   0.1390
  -4.000   0.0763   0.01831   0.01011  -0.1282   0.7645   0.1477
  -3.500   0.1309   0.01770   0.00934  -0.1276   0.7407   0.1578
  -3.000   0.1837   0.01729   0.00880  -0.1267   0.7186   0.1692
  -2.500   0.2355   0.01691   0.00836  -0.1255   0.6978   0.1826
  -2.000   0.2877   0.01655   0.00795  -0.1245   0.6787   0.1989
  -1.500   0.3384   0.01616   0.00759  -0.1232   0.6603   0.2191
  -1.000   0.3840   0.01588   0.00743  -0.1210   0.6424   0.2440
  -0.500   0.4333   0.01567   0.00729  -0.1195   0.6261   0.2799
   0.000   0.4860   0.01542   0.00717  -0.1187   0.6109   0.3373
   0.500   0.5264   0.01503   0.00726  -0.1156   0.5954   0.4367
   1.000   0.5708   0.01482   0.00759  -0.1128   0.5816   0.5973
   1.500   0.6148   0.01492   0.00791  -0.1094   0.5678   0.7092
   2.000   0.6559   0.01521   0.00834  -0.1055   0.5543   0.7799
   2.500   0.7019   0.01549   0.00856  -0.1023   0.5420   0.8364
   3.000   0.7347   0.01565   0.00884  -0.0967   0.5292   0.8898
   3.500   0.7988   0.01598   0.00905  -0.0973   0.5170   0.9419
   4.000   0.8958   0.01643   0.00944  -0.1053   0.5021   0.9800
   4.500   0.9606   0.01690   0.00980  -0.1078   0.4896   1.0000
   5.000   0.9916   0.01719   0.00993  -0.1035   0.4787   1.0000
   5.500   1.0309   0.01773   0.01041  -0.1006   0.4674   1.0000
   6.000   1.0787   0.01819   0.01071  -0.0991   0.4565   1.0000
   6.500   1.1163   0.01879   0.01133  -0.0957   0.4452   1.0000
   7.000   1.1678   0.01935   0.01170  -0.0949   0.4347   1.0000
   7.500   1.1981   0.01998   0.01242  -0.0903   0.4238   1.0000
   8.000   1.2526   0.02065   0.01290  -0.0901   0.4134   1.0000
   8.500   1.2710   0.02126   0.01366  -0.0834   0.4031   1.0000
   9.000   1.3199   0.02197   0.01423  -0.0823   0.3931   1.0000
   9.500   1.3370   0.02273   0.01512  -0.0756   0.3829   1.0000
  10.000   1.3788   0.02353   0.01584  -0.0734   0.3732   1.0000
  10.500   1.3975   0.02441   0.01684  -0.0675   0.3631   1.0000
  11.000   1.4306   0.02538   0.01779  -0.0643   0.3535   1.0000
  11.500   1.4516   0.02638   0.01885  -0.0593   0.3434   1.0000
  12.000   1.4732   0.02768   0.02022  -0.0548   0.3337   1.0000
  12.500   1.5001   0.02875   0.02127  -0.0512   0.3239   1.0000
  13.000   1.5074   0.03061   0.02329  -0.0456   0.3141   1.0000
  13.500   1.5415   0.03174   0.02432  -0.0434   0.3042   1.0000
  14.000   1.5343   0.03432   0.02715  -0.0373   0.2944   1.0000
  14.500   1.5477   0.03649   0.02936  -0.0337   0.2847   1.0000
  15.000   1.5600   0.03874   0.03164  -0.0305   0.2747   1.0000
