  
       XFOIL         Version 6.99
  
 Calculated polar for: GA                                              
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.150 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.8457   0.01614   0.00896  -0.1961   0.7525   0.3845
   0.100   0.8597   0.01600   0.00888  -0.1964   0.7494   0.4078
   0.200   0.8746   0.01587   0.00879  -0.1970   0.7467   0.4333
   0.300   0.8863   0.01584   0.00880  -0.1969   0.7431   0.4573
   0.400   0.8937   0.01588   0.00892  -0.1961   0.7380   0.4782
   0.500   0.9047   0.01584   0.00894  -0.1960   0.7338   0.5024
   0.600   0.9173   0.01576   0.00890  -0.1960   0.7303   0.5276
   0.700   0.9311   0.01567   0.00884  -0.1963   0.7273   0.5548
   0.800   0.9435   0.01564   0.00883  -0.1963   0.7241   0.5805
   0.900   0.9499   0.01571   0.00898  -0.1953   0.7189   0.6015
   1.000   0.9596   0.01569   0.00902  -0.1948   0.7146   0.6250
   1.100   0.9711   0.01565   0.00900  -0.1946   0.7108   0.6506
   1.200   0.9836   0.01558   0.00894  -0.1946   0.7076   0.6766
   1.300   0.9953   0.01554   0.00891  -0.1944   0.7044   0.7024
   1.400   1.0010   0.01559   0.00904  -0.1932   0.6994   0.7256
   1.500   1.0093   0.01557   0.00907  -0.1924   0.6950   0.7517
   1.600   1.0185   0.01550   0.00903  -0.1918   0.6912   0.7814
   1.700   1.0277   0.01537   0.00893  -0.1910   0.6880   0.8170
   1.800   1.0352   0.01518   0.00878  -0.1898   0.6851   0.8728
   1.900   1.0413   0.01516   0.00882  -0.1888   0.6799   1.0000
   2.000   1.0525   0.01524   0.00885  -0.1888   0.6753   1.0000
   2.100   1.0653   0.01529   0.00883  -0.1891   0.6713   1.0000
   2.200   1.0791   0.01533   0.00877  -0.1895   0.6679   1.0000
   2.300   1.0925   0.01541   0.00876  -0.1898   0.6644   1.0000
   2.400   1.1004   0.01554   0.00889  -0.1892   0.6593   1.0000
   2.500   1.1108   0.01562   0.00894  -0.1890   0.6548   1.0000
   2.600   1.1229   0.01568   0.00893  -0.1891   0.6508   1.0000
   2.700   1.1361   0.01573   0.00890  -0.1894   0.6474   1.0000
   2.800   1.1477   0.01584   0.00895  -0.1894   0.6435   1.0000
   2.900   1.1558   0.01596   0.00908  -0.1888   0.6386   1.0000
   3.000   1.1661   0.01605   0.00914  -0.1886   0.6341   1.0000
