  
       XFOIL         Version 6.99
  
 Calculated polar for: MH 114  13.02%                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.150 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -4.750   0.0566   0.05978   0.05594  -0.1253   0.8481   0.0864
  -4.500   0.1011   0.05309   0.04894  -0.1389   0.8449   0.0987
  -4.250   0.1337   0.05094   0.04685  -0.1396   0.8435   0.1048
  -4.000   0.1851   0.04529   0.04091  -0.1500   0.8424   0.1172
  -3.750   0.2825   0.02714   0.01989  -0.1694   0.8428   0.0441
  -3.500   0.3311   0.02561   0.01802  -0.1729   0.8418   0.0497
  -3.000   0.3828   0.02372   0.01607  -0.1724   0.8291   0.0632
  -2.750   0.4284   0.02245   0.01475  -0.1754   0.8275   0.0821
  -2.500   0.4584   0.02175   0.01415  -0.1759   0.8222   0.1084
  -2.250   0.4880   0.02113   0.01371  -0.1765   0.8160   0.1539
  -1.750   0.5746   0.01930   0.01248  -0.1822   0.8112   0.3532
  -1.000   0.6672   0.01846   0.01213  -0.1831   0.7956   0.5834
  -0.500   0.7159   0.01828   0.01216  -0.1809   0.7826   0.7014
  -0.250   0.7485   0.01778   0.01172  -0.1808   0.7792   0.7648
   0.000   0.7599   0.01787   0.01192  -0.1771   0.7708   0.8243
   0.250   0.7766   0.01735   0.01149  -0.1737   0.7652   0.9311
   0.500   0.8250   0.01691   0.01082  -0.1775   0.7620   1.0000
   0.750   0.8454   0.01729   0.01111  -0.1765   0.7523   1.0000
   1.000   0.8852   0.01704   0.01069  -0.1786   0.7477   1.0000
   1.250   0.9119   0.01721   0.01075  -0.1784   0.7401   1.0000
   1.500   0.9444   0.01714   0.01057  -0.1792   0.7335   1.0000
   1.750   0.9841   0.01691   0.01018  -0.1811   0.7290   1.0000
   2.000   1.0034   0.01721   0.01047  -0.1797   0.7190   1.0000
   2.250   1.0422   0.01698   0.01009  -0.1814   0.7139   1.0000
   2.500   1.0621   0.01727   0.01038  -0.1800   0.7040   1.0000
   2.750   1.0991   0.01708   0.01007  -0.1814   0.6982   1.0000
   3.000   1.1195   0.01735   0.01034  -0.1801   0.6883   1.0000
   3.250   1.1559   0.01719   0.01006  -0.1815   0.6821   1.0000
   3.500   1.1756   0.01747   0.01037  -0.1800   0.6719   1.0000
   3.750   1.2114   0.01735   0.01013  -0.1813   0.6651   1.0000
   4.000   1.2309   0.01762   0.01042  -0.1798   0.6545   1.0000
